,Prices,title,location,Model,Marque,Kilometrage,Etat,Annee_Modele,Premiere_main,Nombre_de_portes,Origine,Type_de_Carburant,boite_de_vitesse
776,,VOLVO XC40 T3 diesel,"Oasis, Casablanca",595,Abarth,70 000 - 74 999,Excellent,2017,Oui,3,WW au Maroc,Essence,Automatique
777,,Mercedes-Benz CLA 2025 importer neuf 0km,"Riviera, Casablanca",Golf 7,Volkswagen,120 000 - 129 999,Excellent,2019,Oui,5,WW au Maroc,Diesel,Automatique
778,150 000 DH,Volkswagen Touareg Diesel Automatique 2015,"Extension Dakhla, Agadir",XC90,Volvo,160 000 - 169 999,Très bon,2011,Non,5,WW au Maroc,Essence,Automatique
779,659 000 DH,Audi rsq3 black édition,"Les Cretes, Mohammedia",L200,Mitsubishi,80 000 - 84 999,Bon,2022,,,WW au Maroc,Diesel,Automatique
780,,Volkswagen Tiguan 2.0 Diesel,"Centre ville, Tétouan",Q8,Audi,45 000 - 49 999,Excellent,2020,Non,5,Importée neuve,Electrique,Automatique
781,,Range Rover Sport Autobiographie,"Maarif, Casablanca",Yaris,Toyota,95 000 - 99 999,Excellent,2019,,5,WW au Maroc,Essence,Manuelle
782,340 000 DH,Jeep Grand Cherokee Diesel Automatique 2022,"Maarif, Casablanca",Logan,Dacia,100 000 - 109 999,Excellent,2021,Oui,5,WW au Maroc,Diesel,Manuelle
783,,Renault Kangoo,"Hassan, Rabat",Dokker,Dacia,160 000 - 169 999,Excellent,2017,Oui,5,WW au Maroc,Diesel,Manuelle
784,,Renault Clio 5,"Hassan, Rabat",Cayenne,Porsche,70 000 - 74 999,Excellent,2022,Oui,5,Importée neuve,Hybride,Automatique
785,,Q8 facelifte full,"Maarif, Casablanca",Classe GLC,Mercedes-Benz,0 - 4 999,Excellent,2025,,5,Importée neuve,Hybride,Automatique
786,,Mercedes-Benz Classe E Diesel Automatique 2017,"Hay Riad, Rabat",Cherokee,Jeep,95 000 - 99 999,Excellent,2021,Oui,5,WW au Maroc,Diesel,Automatique
787,,kia sportage 2022,"Autre secteur, Fès",Crossland,Opel,100 000 - 109 999,Très bon,2019,Non,5,WW au Maroc,Diesel,Manuelle
788,,Mercedes classe GLA 220 dédouanée 2019,"Autre secteur, Fès",Tiguan,Volkswagen,90 000 - 94 999,Excellent,2021,Oui,5,Dédouanée,Diesel,Automatique
789,,BMW X3 Diesel Automatique 2021,"Guich Oudaya, Rabat",XC40,Volvo,95 000 - 99 999,Excellent,2020,Oui,5,WW au Maroc,Diesel,Automatique
790,,Golf 8 GTI essence,"2 Mars, Casablanca",Classe CLA,Mercedes-Benz,0 - 4 999,Neuf,2025,Oui,5,Importée neuve,Diesel,Automatique
791,,Peugeot 208 Diesel Manuelle 2019 à Agadir,"Extension Dakhla, Agadir",Touareg,Volkswagen,160 000 - 169 999,Très bon,2015,Non,5,WW au Maroc,Diesel,Automatique
792,570 000 DH,bmw serie 5,"Al Qods, Casablanca",Q3,Audi,65 000 - 69 999,Excellent,2021,Oui,5,Importée neuve,Essence,Automatique
793,,Tesla model 3,"Aïn Chock, Casablanca",Tiguan,Volkswagen,190 000 - 199 999,Très bon,2008,Oui,5,Dédouanée,Diesel,Automatique
794,,Audi Q8 exclusive,"Hay Riad, Rabat",Range Rover Sport,Land Rover,30 000 - 34 999,Excellent,2024,Oui,5,Importée neuve,Diesel,Automatique
795,,JEEP Grand Cherokee 3.0 V6 4WD Overland,"Hay Riad, Rabat",Grand Cherokee,Jeep,70 000 - 74 999,Excellent,2022,Oui,3,Dédouanée,Diesel,Automatique
796,143 000 DH,Dokker2021 6portes,"El Houda, Agadir",Express,Renault,120 000 - 129 999,Excellent,2019,Oui,5,WW au Maroc,Diesel,Manuelle
797,,BMW X5 2.5d Exclusive à Casablanca,"Oasis, Casablanca",Clio,Renault,90 000 - 94 999,Excellent,2021,Non,5,WW au Maroc,Diesel,Manuelle
798,249 000 DH,Geely COOLRAY Essence Automatique 2023,"Sidi Bernoussi, Casablanca",Q8,Audi,0 - 4 999,Neuf,2025,Oui,5,Importée neuve,Diesel,Automatique
799,197 000 DH,Toyota C-HR Essence Automatique 2019 à Casablanca,"Anfa, الدار البيضاء",Classe E,Mercedes-Benz,110 000 - 119 999,Excellent,2017,Non,5,WW au Maroc,Diesel,Automatique
